number;text;photo
menu;"🍰 Меню сладостей 🍰<br><br>Начинка для десертов:<br><br>🍓 Клубника<br>🍇 Малина<br>🍒 Вишня<br><br>Вес и цена:<br><br>1200-1300 г = 1500 руб. 💰<br>600-700 г = 800 руб. 💵<br>Ассортимент пирожных:<br><br>🍫 Шоколадный с вишней<br>🍰 Красный бархат с клубникой и малиной<br>🍬 Сникерс<br>☕️ Тирамису классический<br>Цена: 1 стакан (250 г) = 250 руб. 💵<br>Минимальный заказ: от 4 штук 📦<br><br>Пирожное ""Анна Павлова"" 🍰<br><br>✨ Цена: 1 шт. = 200 руб.<br>🍓 Начинка: клубника, малина, лимонный курд<br>🍇 Украшение: свежими ягодами<br><br>📦 Минимальный заказ: от 6 штук";None
cake;Начинка:<br><br>🍓 Клубника<br>🍇 Малина<br>🍒 Вишня<br><br>Вес:<br>1200-1300 г = 1500 руб. 💰<br>600-700 г = 800 руб. 💵;AgACAgIAAxkBAAMIaBHm31AfR6c_jZPLAXbO3sALuaMAAjn1MRvAfIhI95k-dDyA6HgBAAMCAAN5AAM2BA
cookie;Ассортимент:<br><br>🍫 Шоколадный с вишней<br>🍰 Красный бархат с клубникой и малиной<br>🍬 Сникерс<br>☕️ Тирамису классический<br>Цена: 1 стакан (250 г) = 250 руб. 💵<br>Минимальный заказ: от 4 штук 📦;AgACAgIAAxkBAAIDgmgScscbtAY5KWH3C_BhrGlFzxxDAAJM7DEbaSuYSExXYi4zm8CoAQADAgADeAADNgQ
muffins;Меню;AgACAgIAAxkBAAIDpGgSdBos1chvbqFj47eqkmgnsGrFAAJg7DEbaSuYSHqr3T2MLBo_AQADAgADeQADNgQ
cupcakes;🎂 Праздничные капкейки:<br>Яркие капкейки с кремовой шапкой и декоративными посыпками! 🌈<br>Состав: бисквитная основа, сливочный крем, пищевые украшения<br>Цена: 250 руб. за 1 шт.<br>Сделайте любой день особенным! 💫;AgACAgIAAxkBAAMGaBHm3-ySJsa-VcYAAVXWiZKkFzc_AAI39TEbwHyISIB0D4JiZuKkAQADAgADeQADNgQ
